,age,gender,grade,height,weight,helmet,active,lifting
0,12.0,male,10.0,1.75,65.77,never,1.0,2.0
1,12.0,male,12.0,1.7,54.89,never,2.0,2.0
2,12.0,male,9.0,1.73,65.77,never,1.0,1.0
3,13.0,male,9.0,1.78,55.79,always,1.0,1.0
4,13.0,male,9.0,1.73,82.56,always,2.0,2.0
5,13.0,male,9.0,1.78,65.77,never,1.0,1.0
6,13.0,male,9.0,1.75,88.45,never,2.0,1.0
7,14.0,male,9.0,1.6,54.43,never,2.0,1.0
8,14.0,male,9.0,1.6,54.43,most of the time,2.0,1.0
9,14.0,male,9.0,1.78,66.23,never,1.0,1.0
10,14.0,male,9.0,1.75,63.05,not riding,2.0,2.0
11,14.0,male,9.0,1.73,56.7,never,1.0,1.0
12,14.0,male,10.0,1.68,69.4,always,1.0,2.0
13,14.0,male,9.0,1.6,56.7,never,2.0,1.0
14,14.0,male,9.0,1.68,54.43,rarely,1.0,1.0
15,14.0,male,9.0,1.6,54.43,never,2.0,2.0
16,14.0,male,9.0,1.7,59.88,never,1.0,1.0
17,14.0,male,9.0,1.75,70.31,not riding,2.0,2.0
18,14.0,male,9.0,1.8,60.33,not riding,2.0,2.0
19,14.0,male,9.0,1.55,50.8,never,1.0,1.0
20,14.0,male,9.0,1.85,71.67,never,1.0,1.0
21,14.0,male,9.0,1.7,73.48,not riding,2.0,2.0
22,14.0,male,9.0,1.65,56.7,never,2.0,2.0
23,14.0,male,9.0,1.73,103.42,never,1.0,1.0
24,14.0,male,9.0,1.8,131.54,never,1.0,1.0
25,14.0,male,9.0,1.75,72.58,never,1.0,1.0
26,14.0,male,9.0,1.75,68.04,most of the time,2.0,2.0
27,14.0,male,9.0,1.83,63.5,never,2.0,1.0
28,14.0,male,9.0,1.63,59.88,never,2.0,1.0
29,14.0,male,9.0,1.65,74.39,most of the time,2.0,2.0
30,14.0,male,9.0,1.83,79.83,rarely,1.0,1.0
31,14.0,male,9.0,1.73,84.82,not riding,1.0,1.0
32,14.0,male,9.0,1.96,80.29,rarely,2.0,2.0
33,14.0,male,9.0,1.7,49.9,never,2.0,1.0
34,14.0,male,9.0,1.6,49.9,never,2.0,2.0
35,14.0,male,9.0,1.7,80.74,sometimes,2.0,2.0
36,14.0,male,9.0,1.75,58.97,never,1.0,1.0
37,14.0,male,9.0,1.68,63.5,never,2.0,2.0
38,14.0,male,9.0,1.75,89.81,never,2.0,1.0
39,14.0,male,9.0,1.6,99.79,never,2.0,1.0
40,14.0,male,9.0,1.73,92.08,sometimes,2.0,1.0
41,14.0,male,9.0,1.68,58.06,never,2.0,1.0
42,14.0,male,9.0,1.7,56.7,never,2.0,1.0
43,14.0,male,9.0,1.8,58.97,not riding,2.0,2.0
44,14.0,male,9.0,1.8,108.86,never,2.0,2.0
45,14.0,male,9.0,1.7,79.83,always,1.0,1.0
46,14.0,male,9.0,1.78,62.6,never,2.0,1.0
47,14.0,male,9.0,1.83,61.24,not riding,2.0,2.0
48,14.0,male,9.0,1.83,80.29,not riding,2.0,1.0
49,14.0,male,9.0,1.73,52.16,not riding,2.0,2.0
50,14.0,male,9.0,1.6,54.89,never,1.0,1.0
51,14.0,male,9.0,1.7,58.97,not riding,2.0,2.0
52,14.0,male,9.0,1.78,59.88,never,2.0,2.0
53,14.0,male,9.0,1.65,54.43,never,1.0,1.0
54,14.0,male,9.0,1.78,68.04,never,2.0,1.0
55,14.0,male,9.0,1.73,72.58,sometimes,1.0,1.0
56,14.0,male,9.0,1.8,58.97,never,1.0,1.0
57,14.0,male,9.0,1.68,59.88,never,2.0,2.0
58,14.0,male,9.0,1.68,55.79,never,2.0,1.0
59,14.0,male,9.0,1.78,95.26,never,1.0,1.0
60,14.0,male,9.0,1.8,83.92,never,2.0,1.0
61,14.0,male,9.0,1.63,58.51,rarely,2.0,2.0
62,14.0,male,9.0,1.68,58.97,not riding,2.0,2.0
63,14.0,male,9.0,1.68,69.85,never,2.0,2.0
